rok,miasto,aktor,aktor_znany,typ,trasa,trasa_alt,miejsce_wiecu,miejsce_wiecu_zrodlo,haslo,frekwencja_lista,frekwencja_sr,frekwencja_uwagi,klucze_zrodlowe,plik_zrodlowy,wymaga_weryfikacji
1997,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewska – pl. Grzybowski,"PPS Ikonowicza: rondo de Gaulle'a. Później członkowie partii złożą kwiaty pod kamieniem upamiętniającym redakcję ""Robotnika"" przy ul. Wareckiej. Po spotkaniu pod siedzibą OPZZ przy ul. Kopernika z działaczami i sympatykami SLD i SdRP wyruszą we wspólnym pochodzie Krakowskim Przedmieściem i ul. Królewską na plac Grzybowski.",pl. Grzybowski,koniec trasy,Dzień solidarności wszystkich ludzi pracy i dzień nowej konstytucji,2000@GW;2000@ŻW;2000@RP,2000,bez liczby: Dziennik Trybuna,Hasło;Trasa;Trasa_alt;Hasła_kontra;Frekwencja,PL_1990-2019.md,False
1997,PL,PPS,True,,,,,,"- ""Precz z faszyzmem i antysemityzmem""
- ""Brunatni faszyści""",,,,Hasła_PPS,PL_1990-2019.md,True
1998,PL,,False,demonstracja,spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewska – pl. Grzybowski,PPS Ikonowicza: de Gaulle'a- Nowy Świat i spotkanie z OPZZ pod jej siedzibą,pl. Grzybowski,koniec trasy,"Dzień walki o solidarność ludzi pracy i pakt dla polskiej rodziny. 1 maja naszym świętem
Chcemy Paktu dla polskiej rodziny
Tanie Leki do Apteki
Władza wasza, bieda nasza
1 Maja naszym świętem
Zwolnić rząd zamiast górników
Ryszard Kukliński naszym przyjacielem jest, za pieniądze z CIA",6000@TPZ;3000@ŻW;3000@RP,4000,bez liczby: DT,Hasło;Trasa;Trasa_alt;Hasła;Hasła_radykalne;Frekwencja,PL_1990-2019.md,True
1999,PL,OPZZ,True,demonstracja,"spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewska – pl. Grzybowski. Po pochodzie piknik pod siedzibą SLD, również piknik w ogrodach pałacu prezydenckiego organizowany przez Kwaśniewskiego.","PPS Ikonowicz – na pewno wspólny przemarsz, nie mam informacji o osobnym wiecu na de Gaulle'a. Jednak rok wcześniej i później zorganizował osobny wiec",,,"Dzień protestu przeciwko rządom prawicy; Chleba i prcy
Dialog czy ulica?
1 maja dniem protestu
Równe prawa dla kobiet
Balcerowicz = Bezrobocie
Więcej sprawiedliwości, mniej Solidarności
Pracy, Chleba, Edukacji
Balcerowicz musi odejść, kapitalizm musi zginąć",5000@GW;6000@TPZ;20000@ŻW;10000@DT;5000@RP,9200,,Hasło;Trasa;Trasa_alt;Hasła_OPZZ;Frekwencja,PL_1990-2019.md,False
1999,PL,PPS,True,,,,,,"Będą hasła pacyfistyczne, związane z wojną w Kosowie, a także ""Balcerowicz musi odejść"" i ""Wieś -- Warszawa: w spólna sprawa"" -- zapowiada szef PPS Piotr Ikonowicz (RP 1999)",,,,Hasła_PPS,PL_1990-2019.md,True
2000,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewska – pl. Grzybowski,"PPS Ikonowicza spod de Gaulle'a Nowym Światem pod Robotnika. Od Kopernika wspólny przemarsz z OPZZ, na plac Grzybowski",pl. Grzybowski,koniec trasy,"1 Maja - dniem naszego protestu
Chcemy Pracy
Dość bezrobociu
1 maja dniem protestu
Stop bezrobociu
Chcemy Żyć
Skandal wywołały słowa Piotra Ikonowicza, skierowane w stronę premiera Jerzego Buzka:“SLD z ubolewaniem stwierdza, że chuligaństwo polityczne stało się także udziałem młodych aktywistów Polskiej Partii Socjalistycznej. Z oburzeniem przyjmujemy hasła wznoszone przez członków PPS podczas pochodu w Warszawie. Okrzyki: >>Buzek, ty zmoro, zginiesz jak Aldo Moro<<, czy odwoływanie się do etosu Czerwonych Brygad nie mieści się w konwencji cywilizowanego dyskursu politycznego""” (“Żarty Ikonowicza”, 2000)“Szef PPS Piotr Ikonowicz powiedział wczoraj ""Gazecie"", że rzecznik SLD ""nie ma poczucia humoru"". - **Przecież to kuplety układane w czasie stanu wojennego przez ludzi z Duszpasterstwa Akademickiego, tyle tylko, że zamiast ""Buzek, ty zmoro..."" śpiewano ""Wojtek, ty zmoro..."". Także wtedy śpiewano: ""A jak nie damy rady, wezwiemy Czerwone Brygady""**. To takie piosenki z nutą młodzieńczej przesady, ale przecież jest oczywiste, że żaden z tych młodych ludzi nie byłby w stanie skrzydeł musze oberwać - stwierdził Ikonowicz.UW: Obelgi i pomówienia Ikonowicza” (“Żarty Ikonowicza”, 2000) tłumaczenia IkonowiczaRamowanie protestu – kolejne hasło wywodzące się ze środowisk Solidarnościowych pojawia się na pierwszomajowych pochodach",2000@GW;3500@TPZ;1500@ŻW;2000@RP,2250,bez liczby: DT,Hasło;Trasa;Trasa_alt;Hasła;Frekwencja;Hasła_OPZZ,PL_1990-2019.md,False
2000,PL,PPS,True,,,,,,"Buzek ty zmoro, zdechniesz jak Aldo Moro",,,,Hasła_PPS,PL_1990-2019.md,True
2001,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Krakowskie Przedmieście – ul. Królewska – pl. Grzybowski,de Gaulle'a - Warecka - pomnik Kopernika – wspólnie z OPZZ na plac Grzybowski,pl. Grzybowski,koniec trasy,"Dzień protestu przeciwko polityce rządu
Chleba i pracy"", ""Polska pryszczyca to prawica"", ""1 Maja, piękny dzień, ruszaj z nami i coś zmień"", ""Świat dla ludzi, nie dla zysku, Pracownicza demokracja",6000@GW;10000@TPZ;10000@DT;8000@DT;6000@RP,8000,,Hasło;Trasa;Hasła;Trasa_alt;Frekwencja,PL_1990-2019.md,False
2002,PL,OPZZ,True,demonstracja,OPZZ: spod OPZZ – ul. Świętokrzyską – ul. Nowy Świat - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży – ul. Wiejska – Sejm RP. Później odbył się piknik na ul. Rozbrat w parku im. Rydza Śmigłego. SLD poszło z kolei na plac Grzybowski,"wspólny pochód, rozpoczyna od wiecu na de Gaulle'a i dołącza w drodze pod sejm ze związkowcami OPZZ - ""SLD rozpoczyna wspólnie z OPZZ, ale kończy wraz z delegacją na pl. Grzybowskim""",,,"1 maja dniem protestu
Dzisiejszego dnia nie traktujemy jak święta! Głośno krzyczymy chleba i pracy! Stop bezrobociu!",1000@GW;4000@TPZ;2000@Lewica.pl;1000@RP;2500@DT,2100,,Hasło;Trasa;Trasa_alt;Hasła;Frekwencja,PL_1990-2019.md,False
2003,PL,OPZZ,True,demonstracja,"spod OPZZ – ul. Świętokrzyską - ul. Nowy Świat - - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży – al. Ujazdowskie – ul. Matejki – Sejm RP. Później odbył się piknik na ul. Rozbrat w parku im. Rydza Śmigłego. OPZZ nie było organizatorem pochodu z powodu biedy bezrobocia. Jego organizacją zajął się w całości SLD, a OPZZ był tylko gościem.
**Wydarzenia_alt**: Pochód Nowej Lewicy, Polskiej Parti Komunistycznej, Zielonych i Nowej Lewicy","Nowa Lewica Ikonowicza spotyka się z SLD na rondzie de Gaulle'a, potem idzie pod ambasadę USA. Na pochodzie kilka osób z Konfederacji Pracy. Inicjatywa Stop Wojnie rozpoczyna na placu Zamkowym, skąd idzie na de Gaulle'a skąd wspólnie idą pod amerykańską ambasadę.",,,-,5000@RP;2000@RMF,3500,bez liczby: Wprost,Hasło;Trasa_alt;Trasa;Hasła_kontra;Frekwencja,PL_1990-2019.md,False
2004,PL,OPZZ,True,demonstracja,spod OPZZ – ul. Świętokrzyską - ul. Nowy Świat - - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży – al. Ujazdowskie – ul. Matejki – Sejm RP.,"Nowa Lewica Ikonowicza na rondzie de Gaulle'a wiecuje. Później zmierza w stronę Placu Grzybowskiego, po drodze utarczki z OPZZ",Sejm RP,koniec trasy,Chcemy Europy Socjalnej,500@GW;1000@TPZ;500@Wprost,667,,Hasło;Trasa;Trasa_alt;Frekwencja,PL_1990-2019.md,False
2005,PL,OPZZ,True,demonstracja,spod OPZZ – ul. Świętokrzyską - ul. Nowy Świat - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży – al. Ujazdowskie – ul. Matejki – Sejm RP. Później odbył się piknik na ul. Rozbrat w parku im. Rydza Śmigłego.,"-Nowa Lewica Ikonowicza z de Gaulle'a, łączy się z pochodem OPZZ na wiec, ale idzie dalej na plac Grzybowski, w rocznicę rewolucji 1905.",,,"""Lewica Razem"" (DT)
- Godnej pracy
Mówimy stop likwidacji ogródków działkowych
Pracy i Chleba
Żądamy Europy Socjalnej
""- ""Likwidacji Bezrobocia
**Platforma IV RP**, przedstawiająca braci Kaczyńskich (jeden trzyma transparent ""już my nauczymy was prawa""), Jana Marię Rokitę w damskim, diabelskim stroju z transparentem ""Polska tylko dla bogatych"", oraz Giertycha-Frankensteina, z napisem ""jeden słuszny narodowy reżim"". Kobieta na biało, na szczudłach symbolizuje konstytucję – *pokonuje kłócących się liderów prawicy*",500@GW;1000@TPZ;400@Wprost;400@PAP;1000@DT;500@wp.pl,633,,Hasło;Trasa;Trasa_alt;Hasła;Frekwencja,PL_1990-2019.md,False
2005,PL,PPS,True,,,,,,"–""Na Powązki takie związki""
- ""Precz z czerwoną burżuazją""
- ""Święto pracownika, nie aparatczyka""",,,,Hasła_PPS,PL_1990-2019.md,True
2006,PL,OPZZ,True,demonstracja,spod OPZZ – ul. Świętokrzyską - ul. Nowy Świat - rondo de Gaulle’a – ul. Nowy Świat – pl. Trzech Krzyży – ul. Wiejska – Sejm RP,"- Ruchu Nowa Generacja – inicjatywa działaczy SLD rozczarowanych partią i zatraceniem lewicowych wartości – organizuje krótki pochód. O godz. 11 wyruszą także pod Sejm z pl. Zamkowego.
- z ronda de Gaulle'a wyruszą za to sympatycy Nowej Lewicy. Oto trasa ich pochodu: Nowy Świat, Krakowskie Przedmieście, Królewska, pl. Grzybowski. Przystanek pod NBP, gdzie urzęduje Leszek Balcerowicz. Pojawiają się flagi PPS-u",Sejm RP,koniec trasy,"""upominamy się o wszystkich tych, których wykluczył kapitalizm. Jak co roku tak i dziś na sztandarach wypisujemy pracy i chleba! Nie chcemy cudu, chcemy pracy i zabezpieczeń socjalnych""
Dość arogancji władzy""; ""Nieudolny rząd musi odejść""; ""Hej rencisto, emerycie, jak wygląda twoje życie?!"", ""Trzy razy ""yes"" dla premiera, co wziął za męża Andrzeja Leppera"",  ""Nasza bieda płacze"",![[2006_1maja_transparent_JJG.jpg]]",2000@NTP;2000@GW;2000@DT;1000@RP,1750,,Hasło;Trasa;Trasa_alt;Hasła;Frekwencja;Hasła_radykalne,PL_1990-2019.md,False
2007,PL,OPZZ,True,demonstracja,Jan Guz - spod OPZZ – ul. Świętokrzyską - ul. Nowy Świat - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży – ul. Wiejska – Sejm RP. Później odbył się piknik na ul. Rozbrat w parku im. Rydza Śmigłego,"- Nowa Lewica Ikonowicza z placu de Gaulle'a na plac Grzybowski
- spod PKiN rusza pochód organizowany przez Federację Anarchistyczną i Związek Syndykalistów Polski, który łączy się z pochodem Nowej Lewicy w trasie
- Związek Syndykalistów Polski spod Pałacu Kultury pod ministerstwo finansów. Tam połączenie (?) z pochodem Nowej Lewicy",,,"Nie damy sobie odebrać pierwszomajowej tradycji! Stare hasło 3x8 nadal aktualne*
Pracy, płacy, godnych warunków
Chcemy godnie żyć
Żadnych silosów z antyrakietami
Żądamy godnej emerytury
Więcej płacy, mniej lustracji
Lustracja majątkowa dla ojca dyrektora
Kaczki na taczki
Praca, pokój i socjalizm",800@GW;2000@TPZ;800@Lewica.pl;2000@DT,1400,,Hasło;Trasa;Trasa_alt;Hasła;Hasła_radykalne;Frekwencja,PL_1990-2019.md,False
2008,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyską – (ul. Nowy Świat – zablokowana przez piknik – mimo otrzymanego pozwolenia) – ul. Jasna – al. Jerozolimskie - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży – ul. Wiejska – Sejm RP.,"1. Nowa Lewica, Kancelaria Sprawiedliwości Społecznej, Komunistyczna Partia Polski, Młodzi Socjaliści, Towarzystwo Przyjaźni Polsko-Wenezuelskiej oraz Lewica Bez Cenzury organizują pochód z Ronda De Gaulla o godz. 10.00. Maszerują na plac Grzybowski
2. Lewicowa Alternatywa, Ogólnopolski Związek Zawodowy Inicjatywa Pracownicza, Warszawska Grupa Anarchistyczna, stowarzyszenie ""Wolność-Równość-Solidarność"" oraz Zielonych 2004 organizują pochód pod hasłem ""Przeciwko dyskryminacji i prześladowaniom w miejscu pracy!"". Uczestnicy tej akcji chcą przeciwstawić się się promocji ""elastycznych form zatrudnienia"". Pochód wyrusza z pod Ministerstwa Gospodarki (Pl. Trzech Krzyży) o godz. 12.00.",Sejm RP,koniec trasy,"Ręce precz od kodeksu pracy; Najpierw człowiek, potem zysk",2000@GW;2000@TPZ;3000@Lewica.pl;2000@Wprost;2000@DT;2000@RP,2167,,Hasło;Trasa;Trasa_alt;Hasła_OPZZ;Hasła_radykalne;Frekwencja;Hasła,PL_1990-2019.md,False
2008,PL,PPS,True,,,,,,"Balcerowicz musi odejść
Powiedz nie, burżujom z SLD
Czerwoni magnaci, lud wam odpłaci",,,,Hasła_PPS,PL_1990-2019.md,True
2008,PL,SLD,True,,,,,,"Niech się tarcza w dziurę schowa, nas obroni Częstochowa (Gadzinowski, spiker)
Dawać na płacę, nie na tacę!",,,,Hasła_SLD,PL_1990-2019.md,True
2009,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyską – (ul. Nowy Świat) – ul. Jasna – al. Jerozolimskie  - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży – ul. Wiejska – Sejm RP. Później odbył się piknik na ul. Rozbrat w parku im. Rydza Śmigłego,"Nowa Lewica Ikonowicza wiecuje rano na rondzie de Gaulle'a. Potem bierze udział w pochodzie, który zmierza pod Kancelarię Premiera",,,Nie będziemy płacić za wasz kryzys!,1000@GW;1500@PAP;2500@Lewica.pl;1000@Wprost;1000@TPZ;2000@DT;500@RP,1357,,Hasło;Trasa;Trasa_alt;Hasła_radykalne;Frekwencja,PL_1990-2019.md,False
2010,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyską – (ul. Nowy Świat) – ul. Jasna – al. Jerozolimskie  - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży – ul. Wiejska – Sejm RP. Później odbył się piknik na ul. Rozbrat w parku im. Rydza Śmigłego,"pochód organizowany przez Nową Lewicę/Kancelarię Sprawiedliwości Społecznej, Pracowniczą Demokrację, Komunistyczną Partię Polski, młodzieżówkę Unii Pracy, Ogólnopolski Związek Bezrobotnych oraz redakcję pisma ""Dalej"". Wśród uczestników byli też członkowie Lewicowej Alternatywy oraz Inicjatywy Pracowniczej. Wiec na rondzie de Gaulle'a, potem przemaszerowali pod GWPW, by skończyć na placu Grzybowskim",,,Dzień solidarności w czasach kryzysu,1000@GW;200@TPZ;500@Wprost;200@RMF;300@RP,440,,Hasło;Trasa;Trasa_alt;Hasła_radykalne;Frekwencja,PL_1990-2019.md,False
2011,PL,OPZZ,True,demonstracja,nie było pochodu (beatyfikacja Jana Pawła II) – odbył się centralny pochód w Szczecinie,de Gaulle'a-plac Grzybowski,,,Chcemy socjalnej Polski w  socjalnej Europie,200@GW;100@Wprost;100@RP,133,,Hasło;Trasa;Trasa_alt;Frekwencja,PL_1990-2019.md,False
2012,PL,OPZZ,True,demonstracja,spod siedziby OPZZ – ul. Świętokrzyską – ul. Nowy Świat - rondo de Gaull’ea – ul. Nowy Świat – pl. Trzech Krzyży - ul. Książęca – ul. Rozbrat do parku im. Rydza Śmigłego,"- Ikonowicz (KSS) z de Gaulle'a na plac Grzybowski, gdzie spotyka się z PPS-em. Dołączają do niego uczestnicy kongresu Palikota. Potem idzie pod PKiN, gdzie odbywa się kongres Palikota ""Korekta Kapitalizmu- Młoda lewica"" i anarchiści, tym razem pod nazwą Zmowa Powszechna przeciwko Władzy"", spotkają się o godz. 13 na placu Bankowym. Pójdą w stronę Karowej, gdzie przy skwerze Prusa o godz. 15.30 powstanie ""miasteczko antykryzysowe",ul. Rozbrat do parku im. Rydza Śmigłego,koniec trasy,"Godna praca, godna płaca, godna emerytura",5000@GW;15000@TPZ;12000@Lewica.pl;15000@FZZHiM,11750,,Hasło;Trasa;Trasa_alt;Frekwencja,PL_1990-2019.md,False
2012,PL,SLD,True,,,,,,"*Praca Tymczasowa, wyzysk stały*
*Precz z umowami śmieciowymi młodzi",,,,Hasła_SLD,PL_1990-2019.md,True
