rok,miasto,Centralne_BB,Główna demonstracja,Kontekst,Rok,Temat,Związek,frekwencja_niemcy,frekwencja_niemcy_sr,plik,Źródła,Źródło
1999,PL,,,"Istotnym kontekstem tegorocznych obchodów jest interwencja wojsk NATO w Jugosławii, oraz związane z nią bombardowanie Belgradu. W związkowej prasie pojawia się wiele tekstów krytycznych wobec amerykańskiego imperializmu, min. pióra Piotra Ikonowicza, czy przedruki z Noama Chomsky'ego. Jak podaje Wyborcza, manifestacja była również okazją do wyrażenia sprzeciwu wobec bombardowania Belgradu i działań NATO: *Niektórzy uczestnicy pochodu przypięli do ubrań tarcze strzeleckie z napisem ""target"" (cel) - takie, jakie noszą uczestnicy antynatowskich demonstracji w Belgradzie. Jeszcze zanim doszło do rzucenia petardy, działacze prawicowych młodzieżówek zakłócali manifestację lewicy* [[@LEWICALIGASW1999]].",1999,1. Maja,OPZZ,,,PL_1990-2019.md,"Gazeta Wyborcza, Tygodnik Związkowiec, Życie Warszawy",
2000,PL,,,,2000,1. Maja,OPZZ,,,PL_1990-2019.md,"Gazeta Wyborcza, Tygodnik Związkowiec, Życie Warszawy",
2001,PL,,,,2001,1. Maja,OPZZ,,,PL_1990-2019.md,,
2002,PL,,,"Mimo powrotu do władzy SLD, polityka gospodarcza władz nie zmienia się w taki sposób, jaki oczekiwałby OPZZ. Z tego względu OPZZ odrzuca strategię gospodarczą rządu, krytycznie odnosząc się do proponowanych przez SLD-owskie władze zmian liberalizujących kodeks pracy i inne. 26 kwietnia 2002 przeciwko tym zmianom protestowała Solidarność. Na ulicach Warszawy pojawiło się między 30 a 50 tysięcy członków związku. **“Jednym z najpopularniejszych transparentów, które niosą uczestnicy, jest kościotrup z twarzą Leszka Millera, głoszący hasła wyborcze SLD: ""Wybierzmy przyszłość"". Inne transparenty zachęcają emerytów do wspomożenia rządu Leszka Millera swoją szybką śmiercią. Jeszcze inne wzywają premiera, by jak najszybciej zrealizował swoje powiedzenie, że ""mężczyznę poznaje się po tym jak kończy"".**” [[@ProtestAntypracowniczyAktl2002]]
Nieco inną strategię protestu obrał w trakcie pierwszomajowego pochodu OPZZ. Po raz pierwszy jego trasa biegła spod siedziby OPZZ pod Sejm. Tam Maciej Manicki przekazał marszałkowi Sejmu Markowi Borowskiemu petycję od OPZZ, w której wyrażony zostaje sprzeciw wobec obu projektów dotyczących zmian kodeksu pracy, które procedowane były w Sejmie. Co ciekawe, udało się związkom wypracować porozumienie z pracodawcami, które przez rząd zostało zignorowane.
Nie dochodzi w tym roku do starcia między Ligą Republikańską a pochodem OPZZ – głównie dlatego, że trasa nie przechodzi obok Uniwersytetu Warszawskiego, lecz idzie prosto pod Sejm. W protestach antypierwszomajowych uczestniczy jednak grupka działaczy KoLibra, Młodzieży Wszechpolskiej i Organizacji Młodej Polski. [[@InniPrzeciw2002]]
**Rozbieżne komunikaty ze strony czoła i końca pochodu**:
“To był w ogóle ""dziwny"" pierwszomajowy pochód. Czoło skandowało hasła sprzeczne z hasłami większości uczestników manifestacji, a pod Sejmem policja musiała rozdzielać kłócących się uczestników... tego samego pochodu.” [[@MarszuRozdwojeni2002]]
**Wydarzenia_alt**: Parada Równości; piknik u Prezydenta; Pierwszomajówka 2002 SLD
Jednocześnie w pochodzie udział brali również członkowie partii rządzącej, ale nie Leszek Miller, który w tym czasie składał kwiaty pod kamieniem na placu Grzybowskim.",2002,1. Maja,OPZZ,,,PL_1990-2019.md,,
2003,PL,,,"Sytuacja w roku 2003 była o tyle wyjątkowa, że w ramach protestu przeciwko polityce gospodarczej SLD-owskiego rządu,  władze OPZZ zdecydowały się na rezygnację z obchodów święta 1 maja. Z tego powodu organizacja obchodów święta przypadła SLD, które zdecydowało się na organizację pochodu typową dla OPZZ trasą. Co oznaczała owa rezygnacja w praktyce? Otóż w uroczystościach udział wzięło wyłącznie prezydium związku, wygłosiło swoje przemówienia i na tym poprzestało.",2003,1. Maja,OPZZ,,,PL_1990-2019.md,,"RMF.FM
Czwartek, 1 maja 2003 (14:05)
W całej Polsce trwają obchody Święta Pracy. W Warszawie, w największym pochodzie, który wyruszył sprzed siedziby OPZZ, uczestniczyło ok. 2 tys. osób. To znacznie mniej niż w poprzednich latach. Organizatorzy tłumaczą, że obchody są skromniejsze ze względu na rosnące bezrobocie.
Oprócz głównego, zorganizowanego przez SLD pochodu, Warszawę przemierzał też konkurencyjny marsz Nowej Lewicy, partii Piotra Ikonowicza, niegdyś działacza PPS. Zwolennicy Ikonowicza wznosili hasła antyrządowe.
Przed godz. 11 nieomal doszło do bijatyki między kilkusetosobową grupą działaczy tej partii a manifestantami z głównego pochodu. Policja utworzyła jednak zwarty kordon i pochód SLD przeszedł spokojnie pod Sejm.
Nowa Lewica natomiast, 1-majowo zjednoczyła się z inicjatywą ""Stop wojnie"". Kilkaset osób przeszło Nowym Światem i Alejami Ujazdowskimi przed ambasadę amerykańską. Była tam również reporterka RMF Mira Skórka. Posłuchaj:
W Poznaniu podczas happeningu na Placu Bernardyńskim - tradycyjnym miejscu składania kwiatów z okazji święta 1 Maja - policja zatrzymała kilka osób. Zatrzymani to członkowie Akcji Alternatywnej ""Naszość"", którzy przybyli na plac w przebraniu kosmitów."
2004,PL,,,"Pierwszomajowe święto w roku 2004 ma szczególny charakter. Tego dnia Polska weszła do Unii Europejskiej. Tematyka europejska zdominowała uroczystości i przemówienia, choć nie zabrakło krytycyzmu w stronę koalicji rządzącej, w czym przewodził Jan Guz. *Chcemy żyć w socjalnej Europie – podkreślał.* Stosunkowo niską frekwencję tłumaczyć można powszechnymi obawami związanymi z manifestacją alterglobalistów, która spowodowała masowy wyjazd mieszkańców Warszawy.
Kolumnie przewodzili przedstawiciele FMS, z hasłem ""Mniej szaleństwa, więcej rozwagi, tego chcą Polacy"" [[@WoleliWyjazdOd2004]]",2004,1. Maja,OPZZ,,,PL_1990-2019.md,,
2005,PL,,,,2005,1. Maja,OPZZ,,,PL_1990-2019.md,,
2006,PL,,,,2006,1. Maja,OPZZ,,,PL_1990-2019.md,,
2007,PL,,,,2007,1. Maja,OPZZ,,,PL_1990-2019.md,,
2008,PL,,,,2008,1. Maja,OPZZ,,,PL_1990-2019.md,,
2009,PL,,,,2009,1. Maja,OPZZ,,,PL_1990-2019.md,,
2010,PL,,,,2010,1. Maja,OPZZ,,,PL_1990-2019.md,,
2011,PL,,,,2011,1. Maja,OPZZ,,,PL_1990-2019.md,,
2012,PL,,,,2012,1. Maja,OPZZ,,,PL_1990-2019.md,,
2013,PL,,,,2013,1. Maja,OPZZ,,,PL_1990-2019.md,,
2014,PL,,,,2014,1. Maja,OPZZ,,,PL_1990-2019.md,,
2015,PL,,,,2015,1. Maja,OPZZ,,,PL_1990-2019.md,,
2016,PL,,,,2016,1. Maja,OPZZ,,,PL_1990-2019.md,,
2017,PL,,,,2017,1. Maja,OPZZ,,,PL_1990-2019.md,,
2018,PL,,,,2018,1. Maja,OPZZ,,,PL_1990-2019.md,,
2019,PL,,,,2019,1. Maja,OPZZ,,,PL_1990-2019.md,,
2020,PL,,,,0,1. Maja,OPZZ,,,PL_1990-2019.md,,
2021,PL,,,,0,1. Maja,OPZZ,,,PL_1990-2019.md,,
2022,PL,,,,0,1. Maja,OPZZ,,,PL_1990-2019.md,,
2023,PL,,,,0,1. Maja,OPZZ,,,PL_1990-2019.md,,
2024,PL,,,,0,1. Maja,OPZZ,,,PL_1990-2019.md,,
1987,DE,,,,1987,,,,,DE_1990-2019.md,,
1990,DE,Berlin,Berlin,,1990,,,600000@TAZ;756154@DGBG000656,678077,DE_1990-2019.md,,
1991,DE,Berlin,Halle,,1991,,,600000@TAZ;476090@AL;41830@FNL,372640,DE_1990-2019.md,,
1992,DE,Berlin,Nürnberg,,1992,,,,,DE_1990-2019.md,,
1993,DE,Cottbus,Schwerin,,1993,,,,,DE_1990-2019.md,,
1994,DE,Potsdam,Hannover,,1994,,,,,DE_1990-2019.md,,
1995,DE,Frankfurt (Oder),Köln,,1995,,,,,DE_1990-2019.md,,
1996,DE,Berlin,Berlin,,1996,,,586320@5DGAI003702,586320,DE_1990-2019.md,,
1997,DE,Neuruppin,Hamburg,,1997,,,500000@DGAI3702,500000,DE_1990-2019.md,,
1998,DE,Berlin,München,,1998,,,5000000@BZ,5000000,DE_1990-2019.md,,
1999,DE,Potsdam,Dortmund,,1999,,,,,DE_1990-2019.md,,
2000,DE,Frankfurt (Oder),Hannover,,2000,,,500000@DGB,500000,DE_1990-2019.md,,
2001,DE,Cottbus,Rostock,,2001,,,500000@BZ,500000,DE_1990-2019.md,,
2002,DE,Berlin,Leipzig,,2002,,,500000@TAZ,500000,DE_1990-2019.md,,
2003,DE,Berlin,Neu-Anspach,,2003,,,1000000@BZ,1000000,DE_1990-2019.md,,
2004,DE,Berlin (?),Berlin,,2004,,,510000@Welt,510000,DE_1990-2019.md,,
2005,DE,Potsdam,Mannheim,,2005,,,530000@DGAI003817,530000,DE_1990-2019.md,,
2006,DE,Berlin,Wolfsburg,,2006,,,500000@Nordwest-Zeitung,500000,DE_1990-2019.md,,
2007,DE,Henningsdorf,Gelsenkirchen,,2006,,,530000@Allgemeine-Zeitung,530000,DE_1990-2019.md,,
2008,DE,Frankfurt (Oder),Mainz,,2008,,,416000@Lausitzer-Rundschau,416000,DE_1990-2019.md,,
2009,DE,Berlin,Bremen,,2009,,,484000@ND,484000,DE_1990-2019.md,,
2010,DE,Berlin,Essen,,2010,,,464000@BM,464000,DE_1990-2019.md,,
2011,DE,Berlin (?),Kassel,,2011,,,419000@TSG;423000@BM,421000,DE_1990-2019.md,,
2012,DE,Berlin (?),Stuttgart,,2012,,,420000@DGB;10000@ND,215000,DE_1990-2019.md,,
2013,DE,Berlin,München,,2006,,,425000@DGB,425000,DE_1990-2019.md,,
2014,DE,Potsdam,Bremen,,2006,,,400000@Frankfurter-Rundscha,400000,DE_1990-2019.md,,
2015,DE,Berlin,Berlin,,2006,,,402000@DGB,402000,DE_1990-2019.md,,
2016,DE,Berlin,Stuttgart,,2016,,,390000@DGB,390000,DE_1990-2019.md,,
2017,DE,Berlin,Gelsenkirchen,,2006,,,360000,360000,DE_1990-2019.md,,
2018,DE,Berlin,Nürnberg,,2018,,,340000,340000,DE_1990-2019.md,,
2019,DE,Potsdam,Leipzig,,2019,,,381500@DGB,381500,DE_1990-2019.md,,
