# Srednie frekwencje, wyciagniete z index.html (wykresy w repo).
# Zrodlo prawdy dla liczb -- policzone z arkusza, nie liczone tutaj.
# Regeneruje: python3 parse_srednie.py
rok	miasto	seria	etykieta	grupa	srednia
2013	DE	nazi	Nazi demo	alt	300
2013	DE	revo18	Revolutionäre 18	alt	11667
2014	DE	dgb	DGB Berlin	union	8667
2014	DE	myfest	MyFest Kreuzberg	fest	40000
2014	DE	revo18	Revolutionäre 18	alt	22000
2015	DE	antinazi	Antinazi	alt	500
2015	DE	dgb	DGB Berlin	union	15000
2015	DE	myfest	MyFest Kreuzberg	fest	45000
2015	DE	nazi	Nazi demo	alt	50
2015	DE	revo18	Revolutionäre 18	alt	25500
2016	DE	antinazi	Antinazi	alt	900
2016	DE	dgb	DGB Berlin	union	14000
2016	DE	myfest	MyFest Kreuzberg	fest	30000
2016	DE	nazi	Nazi demo	alt	50
2016	DE	revo13	Revolutionäre 13	alt	250
2016	DE	revo18	Revolutionäre 18	alt	16500
2017	DE	antinazi	Antinazi	alt	600
2017	DE	dgb	DGB Berlin	union	14000
2017	DE	myfest	MyFest Kreuzberg	fest	45000
2017	DE	nazi	Nazi demo	alt	50
2017	DE	revo13	Revolutionäre 13	alt	250
2017	DE	revo18	Revolutionäre 18	alt	15000
2018	DE	antinazi	Antinazi	alt	500
2018	DE	dgb	DGB Berlin	union	9500
2018	DE	myfest	MyFest Kreuzberg	fest	52000
2018	DE	nazi	Nazi demo	alt	30
2018	DE	revo13	Revolutionäre 13	alt	200
2018	DE	revo18	Revolutionäre 18	alt	12500
2019	DE	antinazi	Antinazi	alt	500
2019	DE	dgb	DGB Berlin	union	13000
2019	DE	myfest	MyFest Kreuzberg	fest	45000
2019	DE	nazi	Nazi demo	alt	100
2019	DE	revo13	Revolutionäre 13	alt	200
2019	DE	revo18	Revolutionäre 18	alt	10000
1990	PL	anarchi	Anarchists (W8)	left	50
1990	PL	lew_alt	Left alt. (W4)	left	250
1990	PL	opzz	OPZZ/ZZ	union	14250
1991	PL	anarchi	Anarchists (W8)	left	30
1991	PL	opzz	OPZZ/ZZ	union	12500
1991	PL	pps	PPS	left	200
1992	PL	opzz	OPZZ/ZZ	union	24000
1992	PL	pps	PPS	left	200
1993	PL	opzz	OPZZ/ZZ	union	8000
1994	PL	opzz	OPZZ/ZZ	union	3000
1994	PL	pps	PPS	left	100
1995	PL	anarchi	Anarchists (W8)	left	400
1995	PL	opzz	OPZZ/ZZ	union	4500
1995	PL	pps	PPS	left	80
1995	PL	prawica	Right/Nationalists	right	100
1996	PL	anarchi	Anarchists (W8)	left	500
1996	PL	opzz	OPZZ/ZZ	union	4500
1996	PL	pps	PPS	left	100
1997	PL	opzz	OPZZ/ZZ	union	2500
1997	PL	pps	PPS	left	150
1998	PL	opzz	OPZZ/ZZ	union	4000
1998	PL	pps	PPS	left	150
1999	PL	opzz	OPZZ/ZZ	union	9200
1999	PL	pps	PPS	left	150
2000	PL	opzz	OPZZ/ZZ	union	2250
2000	PL	pps	PPS	left	150
2000	PL	prawica	Right/Nationalists	right	50
2001	PL	anarchi	Anarchists (W8)	left	300
2001	PL	opzz	OPZZ/ZZ	union	7500
2001	PL	parada	Equality Parade	other	200
2001	PL	pps	PPS	left	150
2002	PL	lew_alt	Left alt. (W4)	left	200
2002	PL	opzz	OPZZ/ZZ	union	2100
2002	PL	parada	Equality Parade	other	1500
2003	PL	anarchi	Anarchists (W8)	left	300
2003	PL	lew_alt	Left alt. (W4)	left	500
2003	PL	opzz	OPZZ/ZZ	union	3333
2003	PL	parada	Equality Parade	other	3500
2004	PL	lew_alt	Left alt. (W4)	left	200
2004	PL	opzz	OPZZ/ZZ	union	667
2004	PL	prawica	Right/Nationalists	right	2000
2005	PL	lew_alt	Left alt. (W4)	left	300
2005	PL	opzz	OPZZ/ZZ	union	633
2006	PL	lew_alt	Left alt. (W4)	left	250
2006	PL	opzz	OPZZ/ZZ	union	1750
2007	PL	anarchi	Anarchists (W8)	left	80
2007	PL	lew_alt	Left alt. (W4)	left	300
2007	PL	opzz	OPZZ/ZZ	union	1400
2008	PL	anarchi	Anarchists (W8)	left	200
2008	PL	lew_alt	Left alt. (W4)	left	200
2008	PL	opzz	OPZZ/ZZ	union	2167
2009	PL	anarchi	Anarchists (W8)	left	40
2009	PL	lew_alt	Left alt. (W4)	left	300
2009	PL	opzz	OPZZ/ZZ	union	1357
2009	PL	prawica	Right/Nationalists	right	6
2010	PL	lew_alt	Left alt. (W4)	left	150
2010	PL	opzz	OPZZ/ZZ	union	440
2011	PL	lew_alt	Left alt. (W4)	left	150
2011	PL	opzz	OPZZ/ZZ	union	133
2012	PL	anarchi	Anarchists (W8)	left	150
2012	PL	opzz	OPZZ/ZZ	union	11750
2012	PL	prawica	Right/Nationalists	right	500
2013	PL	lew_alt	Left alt. (W4)	left	200
2013	PL	opzz	OPZZ/ZZ	union	20000
2013	PL	prawica	Right/Nationalists	right	500
2014	PL	lew_alt	Left alt. (W4)	left	400
2014	PL	opzz	OPZZ/ZZ	union	7333
2014	PL	prawica	Right/Nationalists	right	450
2015	PL	fest_eu	European Festival	fest	30000
2015	PL	lew_alt	Left alt. (W4)	left	450
2015	PL	prawica	Right/Nationalists	right	250
2016	PL	lew_alt	Left alt. (W4)	left	400
2016	PL	opzz	OPZZ/ZZ	union	3667
2016	PL	prawica	Right/Nationalists	right	150
2017	PL	lew_alt	Left alt. (W4)	left	400
2017	PL	opzz	OPZZ/ZZ	union	650
2018	PL	lew_alt	Left alt. (W4)	left	400
2018	PL	opzz	OPZZ/ZZ	union	775
2018	PL	prawica	Right/Nationalists	right	50
2019	PL	lew_alt	Left alt. (W4)	left	350
2019	PL	prawica	Right/Nationalists	right	3000
