# Dzielnicowki: niecentralne wydarzenia organizowane przez lokalne struktury
# partyjne (PDS/Linke, SPD). Nigdy nie trafily na mapy, wiec nie da sie ich
# sparsowac -- sa wpisywane tutaj z prasy i z kronik.
#
# data    -- 01.05 albo 30.04. Czesc imprez to "Tanz in den Mai" z wieczora
#            30 kwietnia; to osobne wydarzenia i nie mieszaja sie z 1 maja.
# seria   -- nazwa cyklu, jesli wydarzenie powtarza sie co roku. Dzieki niej
#            POLE widzi ciaglosc, a nie osobne wydarzenie w kazdym roku.
# pewnosc -- "pewna" gdy zrodlo podaje wszystko wprost, "dzielnica" gdy sama
#            dzielnica jest wywnioskowana z adresu, "godzina" gdy brak godziny.
rok	data	miasto	dzielnica	aktor	typ	nazwa	godzina_od	godzina_do	miejsce	osoby	seria	pewnosc	zrodlo	uwaga	cytat
1992	01.05	DE	Treptow	PDS	festyn	Maifeier im Gerard-Philippe-Klub	14:00		Karl-Kunger-Straße			pewna	ND 30.04.1992		ab 14 Uhr gleich zwei Maifeiern ein: Im Johannisthaler Springbornclub (Springbornstraße) und im Gerard-Philippe-Klub (Karl-Kunger-Stra-ße).
1992	01.05	DE	Pankow	PDS	festyn	Forum zu aktuellen Fragen der Politik	16:00		Haus der PDS Pankow, Breite Straße 48	Hans Modrow		pewna	ND 30.04.1992		Ab 16 Uhr findet im Haus der PDS Pankow.(Breite Straße 48) ein Forum zu aktuellen Fragen der Politik mit dem PDS-Ehrenvorsitzenden Hans Modrow, Mitglied des Bundestages, statt.
1993	01.05	DE	Friedrichshain	PDS	festyn	Maifest von ND und PDS Friedrichshain	14:00		Franz-Mehring-Platz		Maifest im ND-Haus Friedrichshain	pewna	ND 30.04.1993		ab 14 Uhr beim „Neuen Deutschland“ vorbeischauen, denn in Innenhof, Foyer und Verlagsgebäude am Franz-Mehring-Platz feiern und diskutieren ND und die PDS Friedrichshain mit Lesern, Freunden und Gästen.
1993	01.05	DE	Marzahn	PDS	festyn	Maifest an der PDS-Geschäftsstelle Alt-Marzahn	13:00	23:00	Alt-Marzahn 64		Rot ist der Mai / Alt-Marzahn	pewna	ND 30.04.1993		23 Uhr wird rund um die PDS-Geschäftsstelle Alt-Marzahn 64 gefeiert. Ein bunter Nachmittag steht in der PDS-Geschäftsstelle Wei-ßensee, Parkstraße 23
1993	01.05	DE	Weißensee	PDS	festyn	Bunter Nachmittag in der PDS-Geschäftsstelle	13:00		Parkstraße 23			pewna	ND 30.04.1993		Ein bunter Nachmittag steht in der PDS-Geschäftsstelle Wei-ßensee, Parkstraße 23 ab 13 Uhr an.
1993	01.05	DE	Hellersdorf	PDS	festyn	Maifest vor dem Haus der Parteien	10:00		Kastanienallee 6-8		Maifest Boulevard Kastanienallee	pewna	ND 30.04.1993		10 Uhr vor dem Haus der Parteien in der Kastanienallee 6-8. Im Treptower „Springbrunnenclub“ wird
1993	01.05	DE	Treptow	PDS	festyn	Maifete im Springbrunnenclub	13:00		Springbornstraße		Maifest Springbornclub Johannisthal	pewna	ND 30.04.1993		Im Treptower »Springbrunnenclub« wird ab 13 Uhr zur Maifete geladen.
1993	01.05	DE	Köpenick	PDS	festyn	Maifeier der PDS Köpenick	14:00	17:00			1. Mai Fest Köpenick	pewna	ND 30.04.1993		14 Uhr startet in Weißensee in der Parkstraße 23 ein Frühlingsfest, ebenso auf der Köpenicker Schloßinsel. Kiezfeste mit Gregor Gysi finden am Nachmittag in Alt-Marzahn (
1993	01.05	DE	Kreuzberg	AWO	festyn	Begegnung der Generationen	15:00	19:00	Seniorenheim Stallschreiberstraße 12			pewna	ND 30.04.1993		Unter dem Titel Begegnung der Generationen lädt die Arbeiterwohlfahrt Kreuzberg zwischen 15 und 19 Uhr in und um das Seniorenheim Stallschreiberstraße 12.
1995	30.04	DE	Lichtenberg	SPD	festyn	Tanz in den Mai			Kreisverband Lichtenberg			godzina	ND 29.04.1995; rocznik DE		Aus Tradition bitten die Kreisverbände für den 30. April zum »Tanz in den Mai«. In den Ostbezirken sind Lichtenberg, Pankow und Köpenick dabei.
1995	30.04	DE	Pankow	SPD	festyn	Tanz in den Mai			Pankower Tanzschule, Kreuzstraße 3			godzina	ND 29.04.1995; rocznik DE		- Pankower Tanzschule, Kreuzstraße 3
1995	30.04	DE	Köpenick	SPD	festyn	Tanz in den Mai			Kreisverband Köpenick			godzina	ND 29.04.1995; rocznik DE		Aus Tradition bitten die Kreisverbände für den 30. April zum »Tanz in den Mai«. In den Ostbezirken sind Lichtenberg, Pankow und Köpenick dabei.
1995	01.05	DE	Treptow	SPD	festyn	SPD-Rosengartenfest	13:00	18:00	Treptower Park, Rosengarten			pewna	ND 29.04.1995; rocznik DE		Treptow erlebt ein SPD-Rosengartenfest am 1. Mai (nd); rocznik: 13:00-18:00, Treptower Park, Rosengarten
1995	01.05	DE	Pankow	SPD	festyn	Maifest im Bürgerpark	13:00	18:00	Bürgerpark Pankow			pewna	ND 29.04.1995; rocznik DE	mialem to wczesniej jako impreze PDS -- ND stawia ja w akapicie o SPD; ND podaje "ab 14 Uhr", rocznik 13:00-18:00	im Pankower Bürgerpark läuft ab 14 Uhr ein Maifest (nd); rocznik: 13:00-18:00, Pankower Bürgerpark
1995	01.05	DE	Prenzlauer Berg	Antifa	festyn	Antifaschistisches Zelt auf dem Humannplatz			Humannplatz		Humannplatz Prenzlauer Berg	godzina	ND 29.04.1995		In Prenzlauer Berg auf dem Humannplatz wollen Antifaschisten ein Zelt [tekst urwany w zrodle]
1996	01.05	DE	Hellersdorf	PDS	festyn	Maifest Boulevard Kastanienallee	10:00		Boulevard Kastanienallee	Hermann Kant; Gisela Steineckert	Maifest Boulevard Kastanienallee	pewna	ND 30.04.1996		ab 10 Uhr im Boulevard Kastanienallee erwartet. Mit Politikern kann man über die Länderfusion diskutieren. Stadträte und Abgeordnete stehen Rede und Antwort. Herrnann Kant und Gisela Steineckert signieren ihre Bücher.
1996	01.05	DE	Hohenschönhausen	PDS	festyn	Festumzug und Maifest am Obersee	09:30		Lindencenter, Festwiese am Obersee	Heinz Quermann	Maifest am Obersee	pewna	ND 30.04.1996		HOHENSCHÖNHAUSEN: Soziale Projekte, Vereine und Verbände laden an den Obersee ein. Ein Festumzug beginnt 9.30 Uhr am Lindencenter. Auf der Festwiese am See gibt es neben allerlei Kurzweil eine Talkrunde mit Kommunalpolitikern.
1996	01.05	DE	Prenzlauer Berg	PDS	festyn	Widerspenstig und lebendig, Humannplatz	10:00	19:00	Humannplatz		Humannplatz Prenzlauer Berg	pewna	ND 30.04.1996		PRENZLAUER BERG: »Widerspenstig und lebendig« soll es von 10-19 Uhr auf dem Humannplatz zugehen - mit Livemusik, Fußballturnier, Ausstellungen, Infoständen, Kinderfest.
1996	01.05	DE	Marzahn	PDS	festyn	Maifete »Rot ist der Mai«	13:00		Alt-Marzahn	Harald Buttler; Norbert Lüdtke	Rot ist der Mai / Alt-Marzahn	pewna	ND 30.04.1996		ab 13 Uhr bei der Maifete iri Alt-Marzahn. Für die Kinder, stehen Maibaumklettern, Kremserfahrten, Basteln und Spielen auf dem Programm. Für die Größeren signieien Schriftsteller ihre Bücher, gibt es Infostände. Bezirkspolitiker wie Bürgermeister-Harald Buttler und PDS-Fra'itionschef in der BW Norbert Lüdtke sowie Abgeordnete de$ Bezirkes im Berliner Parlament wie Dagmar Pohle und Margit Barth, dazu Margitta Mächtig,
1997	30.04	DE	Weißensee	PDS	festyn	Maifeier der PDS Weißensee	14:30	22:00	Herbert-Baum-Straße			pewna	ND 30.04.1997		14.30-22 Uhr, Herbert-Baum-Straße, und Lichtenberg,
1997	30.04	DE	Lichtenberg	PDS	festyn	Maifeier der PDS Lichtenberg	19:00		Kulturhaus Karlshorst			pewna	ND 30.04.1997		ab 19 Uhr, Kulturhaus Karlshorst. Pankow feiert am 2. und 3. Mai das 7. Nordberliner Früh-Links-Fest in der Schönholzer Heide.
1997	01.05	DE	Köpenick	PDS	festyn	Maifest im Luisenhain	14:00	18:00	Luisenhain		1. Mai Fest Köpenick	pewna	ND 30.04.1997		14-18 Uhr, Luisenhain, Marzahn,
1997	01.05	DE	Marzahn	PDS	festyn	Maifest Alt-Marzahn	13:00	18:00	Alt-Marzahn 64		Rot ist der Mai / Alt-Marzahn	pewna	ND 30.04.1997		13-18 Uhr, Alt-Marzahn 64, Hohenschönhausen,
1997	01.05	DE	Hohenschönhausen	PDS	festyn	Maifest im Oberseepark	10:00	17:00	Oberseepark		Maifest am Obersee	pewna	ND 30.04.1997		10-17 Uhr, Oberseepark, Hellersdorf,
1997	01.05	DE	Hellersdorf	PDS	festyn	Maifest Boulevard Kastanienallee	11:00	19:00	Boulevard Kastanienallee		Maifest Boulevard Kastanienallee	pewna	ND 30.04.1997		11-19 Uhr, Boulevard Kastanienallee. Schon am heutigen 30. April feiern die PDS Wei-ßensee,
1998	01.05	DE	Hellersdorf	Volkssolidarität	festyn	Straßenfest Boulevard Kastanienallee			Boulevard Kastanienallee		Maifest Boulevard Kastanienallee	godzina	ND 29.04.1998		(ND-Dittmann). Zu einem großen Straßenfest auf dem Boulevard Kastanienallee lädt die Volkssolidarität am 1. Mai ein. Der unter dem Motto stehende Aufruf »In wachsender Solidarität der Generationen gemeinsam« wurde von über 50 Vereinen, freien Trägern, Bürgerinitiativen und dem PDS-Bezirksvorstand unterzeichnet. Die meisten beteiligen sich auch an der Organisation des Maifestes.
2000	01.05	DE	Hellersdorf	PDS	festyn	Multikulturelles Bündnisfest gegen Rechts	11:00	20:00	Alice-Salomon-Platz	Gregor Gysi; Petra Pau		pewna	ND 29.04.2000		20 Uhr multikulturelles Bündnisfest gegen Rechts, Alice-Salomon-Platz, Hellersdorf. Mit Gregor Gysi gegen
2000	01.05	DE	Marzahn	BVV Marzahn	festyn	Kundgebungen der BVV Marzahn	09:00		Eisenacher Straße; Wittenberger Straße			pewna	ND 29.04.2000		ab 9 Uhr Kundgebungen der BW Mar zahn, Eisenacher Straße, Wittenberger Straße, Marzahner Promenade, S-Bhf. Marzahn, Mehrower Allee, U-Bhf. Biesdorf-Süd
2000	01.05	DE	Marzahn	PDS	festyn	Kundgebungen der PDS Marzahn	10:00	17:00	Allee der Kosmonauten; Alt-Marzahn; Freizeitforum Marzahn; S-Bhf Biesdorf; Poelchaustraße; Ahrensfelde		Rot ist der Mai / Alt-Marzahn	pewna	ND 29.04.2000		10-17 Uhr Kundgebungen der PDS Mar zahn, Allee der Kosmonauten, Alt-Mar zahn, Freizeitforum Marzahn, S-Bahnhöfe Biesdorf, Poelchaustraße, Ahrensfelde
2000	01.05	DE	Prenzlauer Berg	PDS	festyn	Bündnisfest auf dem Humannplatz	09:00	24:00	Humannplatz		Humannplatz Prenzlauer Berg	pewna	ND 29.04.2000		9-24 Uhr Bündnisfest auf dem Humannplatz, Prenzlauer Berg
2000	01.05	DE	Prenzlauer Berg	PDS	festyn	PDS-Fest Bötzowstraße	10:00	20:00	Bötzowstraße		Fest an der Bötzow-Eiche	pewna	ND 29.04.2000		10-20 Uhr PDS-Fest, Bötzowstraße, Prenzlauer Berg
2000	01.05	DE	Hohenschönhausen	PDS	festyn	Bündnisfest Am Obersee	11:00	18:00	Am Obersee		Maifest am Obersee	pewna	ND 29.04.2000		18 Uhr Bündnisfest, Am Obersee, Hohenschönhausen
2000	01.05	DE	Köpenick	PDS	festyn	PDS-Mai-Fest im Luisenhain	13:00	18:00	Luisenhain		1. Mai Fest Köpenick	pewna	ND 29.04.2000		13-18 Uhr PDS-Mai-Fest, Luisenhain, Köpenick
2000	01.05	DE	Kreuzberg	PDS	festyn	Bündnis-Mai-Feier auf dem Mariannenplatz	13:00	21:00	Mariannenplatz		Mariannenplatzfest	pewna	ND 29.04.2000		13-21 Uhr Bündnis-Mai-Feier, Mariannenplatz, Kreuzberg
2000	01.05	DE	Treptow	PDS	festyn	PDS-Mai-Fest im Springborn-Club	14:00	18:00	Springborn-Club, Johannisthal		Maifest Springbornclub Johannisthal	pewna	ND 29.04.2000		14-18 Uhr, PDS-Mai-Fest, Springborn- Club, Treptow-Johannisthal
2005	01.05	DE	Hohenschönhausen	PDS	festyn	Maifest Lichtenberg	11:00	18:00	Falkenberger Chaussee, zwischen Pablo-Picasso- und Vincent-van-Gogh-Straße		Maifest Hohenschönhausen (Falkenberger Chaussee)	pewna	PDS Berlin, Termine 05.04.2005; info links (Die Linke Lichtenberg) 03/2005		11–18 Uhr Maifest Lichtenberg; Falkenberger Chaussee, zwischen Pablo-Picassound Vincent-van-Gogh-Straße (* Veranstaltungsort: Alfred-Kowalke-Straße 14) BuchTipp Demokratischer Abbruch Ein neues Buch von Daniela Dahn ist immer der Aufmerk…
2005	01.05	DE	Köpenick	PDS	festyn	Maifest Schlossplatz Köpenick	13:00		Schlossplatz, Altstadt Köpenick		1. Mai Fest Köpenick	pewna	PDS Berlin, Termine 05.04.2005		ab 13 Uhr starten die Maifeste. Am Schloßplatz, Altstadt Köpenick, findet ihr das Maifest der Linken Treptow-Köpenick, mit Gregor Gysi, Petra Pau und Katina Schubert. Auch an der Bötzow-Eiche, Bötzowstraße / Am Friedrichshain, findet ein Maifest statt. Mit Elke Breitenbach, Stefan Liebich, Petra Pau und Martina Michels.
2005	01.05	DE	Kreuzberg	PDS	festyn	Maifest Mariannenplatz	13:00		Mariannenplatz		Mariannenplatzfest	pewna	PDS Berlin, Termine 05.04.2005		13 bis 22 Uhr: 1. Mai Fest auf dem Mariannenplatz Kreuzberg, u.a. mit Katina Schubert, Petra Pau und Pascal Meiser (ca.
2005	01.05	DE	Prenzlauer Berg	PDS	festyn	Maifest an der Bötzoweiche	14:00		Bötzowstraße / Am Friedrichshain		Fest an der Bötzow-Eiche	pewna	PDS Berlin, Termine 05.04.2005; Zotero: »Botzow-Fest 1. Mai PDS«, s. 8		1. Mai Maifest an der Bötzoweiche
2005	01.05	DE	Treptow	PDS	festyn	Maifest Springbornclub	14:00		Springbornstraße		Maifest Springbornclub Johannisthal	pewna	PDS Berlin, Termine 05.04.2005		ab 14 Uhr gleich zwei Maifeiern ein: Im Johannisthaler Springbornclub (Springbornstraße) und im Gerard-Philippe-Klub (Karl-Kunger-Stra-ße).
2013	01.05	DE	Köpenick	Die Linke	festyn	Maifest in Treptow-Köpenick			Altstadt Köpenick	Petra Pau	1. Mai Fest Köpenick	godzina	Facebook Die Linke, 1.05.2013		ab 13 Uhr starten die Maifeste. Am Schloßplatz, Altstadt Köpenick, findet ihr das Maifest der Linken Treptow-Köpenick, mit Gregor Gysi, Petra Pau und Katina Schubert. Auch an der Bötzow-Eiche, Bötzowstraße / Am Friedrichshain, findet ein Maifest statt. Mit Elke Breitenbach, Stefan Liebich, Petra Pau und Martina Michels.
2013	01.05	DE	Hohenschönhausen	Die Linke	festyn	Maifest »Bunte Platte«				Gesine Lötzsch	Maifest Hohenschönhausen (Falkenberger Chaussee)	godzina	Facebook Die Linke, 1.05.2013		Maifest "Bunte Platte" in Hohenschönhausen: Mit dabei auch die Bundestagsabgeordnete Gesine Lötzsch.
2017	01.05	DE	Hohenschönhausen	Die Linke	festyn	Familienfest Hohenschönhausen	11:00	17:00	Falkenberger Chaussee / Vincent-van-Gogh-Straße		Maifest Hohenschönhausen (Falkenberger Chaussee)	pewna	Newsletter Die Linke Berlin 21.04.2017		11 bis 17 Uhr: Familienfest »Bunte Platte« in Hohenschönhausen, Falkenberger Chaussee/ Vincent-van-Gogh-Straße, u.a. mit Michael Grunst und Gesine Lötzsch
2017	01.05	DE	Lichtenberg	Die Linke	festyn	Markt am Rathaus Lichtenberg	11:00	18:00	Frankfurter Allee / Möllendorffstraße		Markt am Rathaus Lichtenberg	pewna	Newsletter Die Linke Berlin 21.04.2017		11 bis 18 Uhr: Markt am Rathaus Lichtenberg, Frankfurter Allee/Möllendorffstraße, u.a. mit Gesine Lötzsch
2017	01.05	DE	Prenzlauer Berg	Die Linke	festyn	Fest an der Bötzow-Eiche	13:00	18:30	Bötzowstraße / Straße am Friedrichshain	Elke Breitenbach	Fest an der Bötzow-Eiche	pewna	Newsletter Die Linke Berlin 21.04.2017		13 bis 18.30 Uhr: Fest an der Bötzow-Eiche, Ecke Bötzowstraße/ Straße am Friedrichshain (Sozialsenatorin Elke Breitenbach wird anwesend sein)
2017	01.05	DE	Treptow	Die Linke	festyn	Kiezfest Johannisthal	12:00	20:00	Springbornstraße 13		Maifest Springbornclub Johannisthal	pewna	Newsletter Die Linke Berlin 21.04.2017		12 bis 20 Uhr: Kiezfest Johannisthal, Springbornstraße 13, Treptow-Köpenick
2017	01.05	DE	Köpenick	Die Linke	festyn	1. Mai-Fest DIE LINKE Treptow-Köpenick	13:00	18:00	Schloßplatz, Altstadt Köpenick	Katina Schubert	1. Mai Fest Köpenick	pewna	Newsletter Die Linke Berlin 21.04.2017		13 bis 18 Uhr: 1. Mai Fest DIE LINKE. Treptow-Köpenick, Schlossplatz, Altstadt Köpenick, u.a. mit Petra Pau und Klaus Lederer (ca.
2017	01.05	DE	Kreuzberg	Die Linke	festyn	1. Mai-Fest auf dem Mariannenplatz	13:00	20:00	Mariannenplatz	Katina Schubert	Mariannenplatzfest	pewna	Newsletter Die Linke Berlin 21.04.2017		13 bis 20 Uhr: 1.Mai-Fest auf dem Mariannenplatz, Kreuzberg (Landesvorsitzende Katina Schubert wird anwesend sein)
2017	01.05	DE	Hellersdorf	Die Linke	festyn	1. Mai-Fest Cecilienplatz	14:00	18:00	Cecilienplatz, Kaulsdorf-Nord		1. Mai-Fest Cecilienplatz	dzielnica	Newsletter Die Linke Berlin 21.04.2017		14 bis 18 Uhr: 1.Mai-Fest, Cecilienplatz, Nähe U-Bahnhof Kaulsdorf-Nord, 12619 Berlin
2018	01.05	DE	Hohenschönhausen	Die Linke	festyn	Familienfest »Bunte Platte«	11:00	17:00	Falkenberger Chaussee / Vincent-van-Gogh-Straße	Michael Grunst; Gesine Lötzsch	Maifest Hohenschönhausen (Falkenberger Chaussee)	pewna	ND		11 bis 17 Uhr: Familienfest »Bunte Platte« in Hohenschönhausen, Falkenberger Chaussee/ Vincent-van-Gogh-Straße, u.a. mit Michael Grunst und Gesine Lötzsch
2018	01.05	DE	Lichtenberg	Die Linke	festyn	Markt am Rathaus Lichtenberg	11:00	18:00	Frankfurter Allee / Möllendorffstraße	Gesine Lötzsch	Markt am Rathaus Lichtenberg	pewna	ND		11 bis 18 Uhr: Markt am Rathaus Lichtenberg, Frankfurter Allee/Möllendorffstraße, u.a. mit Gesine Lötzsch
2018	01.05	DE	Prenzlauer Berg	Die Linke	festyn	Fest an der Bötzow-Eiche	13:00	18:30	Bötzow-Eiche	Katina Schubert; Pascal Meiser; Klaus Lederer; Elke Breitenbach; Petra Pau; Stefan Liebich	Fest an der Bötzow-Eiche	dzielnica	ND		13 bis 18.30 Uhr: Fest an der Bötzow-Eiche, u.a. mit Katina Schubert, Pascal Meiser (ca.
2018	01.05	DE	Köpenick	Die Linke	festyn	1. Mai Fest DIE LINKE Treptow-Köpenick	13:00	18:00	Schlossplatz, Altstadt Köpenick	Petra Pau; Klaus Lederer; Katina Schubert	1. Mai Fest Köpenick	pewna	ND		13 bis 18 Uhr: 1. Mai Fest DIE LINKE. Treptow-Köpenick, Schlossplatz, Altstadt Köpenick, u.a. mit Petra Pau und Klaus Lederer (ca.
2018	01.05	DE	Kreuzberg	Die Linke	festyn	1. Mai Fest auf dem Mariannenplatz	13:00	22:00	Mariannenplatz	Katina Schubert; Petra Pau; Pascal Meiser	Mariannenplatzfest	pewna	ND		13 bis 22 Uhr: 1. Mai Fest auf dem Mariannenplatz Kreuzberg, u.a. mit Katina Schubert, Petra Pau und Pascal Meiser (ca.
2019	01.05	DE	Hohenschönhausen	Die Linke	festyn	Bunte-Platte-Fest	10:00		Warnitzer Bogen	Petra Pau; Gesine Lötzsch	Maifest Hohenschönhausen (Falkenberger Chaussee)	pewna	strona wydarzenia Die Linke Berlin; info links (Die Linke Lichtenberg) 05/2019	rozbieznosc rozstrzygnieta: newsletter krajowy podawal 11:00 i Falkenberger Chaussee, ale strona wydarzenia i dzielnicowe info links zgodnie podaja 10:00 na Warnitzer Bogen	10 Uhr Schutz der Grundrechte Bunte-Platte-Fest am Warnitzer Bogen Für welche Sicherheitspolitik steht Trend der Gesetzesverschärfungen weile mehrere gemeinsame Projekte z 7.5.,
2019	01.05	DE	Lichtenberg	Die Linke	festyn	Spectaculum am lichten Berg	12:00	18:00	Rathaus Lichtenberg, Frankfurter Allee / Möllendorffstraße	Sebastian Schlüsselburg; Hendrikje Klein; Gesine Lötzsch	Markt am Rathaus Lichtenberg	pewna	Newsletter Die Linke Berlin; info links (Die Linke Lichtenberg) 05/2019	newsletter krajowy nazywa to Markt am Rathaus i podaje 11:00; dzielnicowe info links daje nazwe Spectaculum am lichten Berg i 12:00	11 bis 18 Uhr: Markt am Rathaus Lichtenberg, Frankfurter Allee/Möllendorffstraße, u.a. mit Gesine Lötzsch
2019	01.05	DE	Köpenick	Die Linke	festyn	Maifest auf dem Schlossplatz Köpenick	13:00		Schloßplatz, Altstadt Köpenick	Gregor Gysi; Petra Pau; Katina Schubert; Klaus Lederer	1. Mai Fest Köpenick	pewna	Newsletter Die Linke Berlin; blättchen (Die Linke Treptow-Köpenick) 250, maj 2019	muzyka: Ralph de Jongh & Max Joosten, Vitis&Stier, Apfeltraum	ab 13 Uhr starten die Maifeste. Am Schloßplatz, Altstadt Köpenick, findet ihr das Maifest der Linken Treptow-Köpenick, mit Gregor Gysi, Petra Pau und Katina Schubert. Auch an der Bötzow-Eiche, Bötzowstraße / Am Friedrichshain, findet ein Maifest statt. Mit Elke Breitenbach, Stefan Liebich, Petra Pau und Martina Michels.
2019	01.05	DE	Prenzlauer Berg	Die Linke	festyn	Maifest an der Bötzow-Eiche	13:00		Bötzowstraße / Am Friedrichshain	Elke Breitenbach; Stefan Liebich; Petra Pau; Martina Michels	Fest an der Bötzow-Eiche	dzielnica	Newsletter Die Linke Berlin »Maifeierlichkeiten«		ab 13 Uhr starten die Maifeste. Am Schloßplatz, Altstadt Köpenick, findet ihr das Maifest der Linken Treptow-Köpenick, mit Gregor Gysi, Petra Pau und Katina Schubert. Auch an der Bötzow-Eiche, Bötzowstraße / Am Friedrichshain, findet ein Maifest statt. Mit Elke Breitenbach, Stefan Liebich, Petra Pau und Martina Michels.
2019	01.05	DE	Kreuzberg	Die Linke	festyn	1. Mai Fest auf dem Mariannenplatz	13:00		Mariannenplatz	Pascal Meiser; Katrin Lompscher; Martina Michels; Gregor Gysi	Mariannenplatzfest	pewna	Newsletter Die Linke Berlin »Maifeierlichkeiten«		13 bis 22 Uhr: 1. Mai Fest auf dem Mariannenplatz Kreuzberg, u.a. mit Katina Schubert, Petra Pau und Pascal Meiser (ca.
2010	01.05	DE	Hohenschönhausen	Die Linke	festyn	Stadtteilfest »Bunte Platte«	11:00		Falkenberger Chaussee / Vincent-van-Gogh-Straße		Maifest Hohenschönhausen (Falkenberger Chaussee)	aktor	Berliner Morgenpost 29.04.2010	zrodlo nie nazywa organizatora, pisze o "jährlich stattfindenden Stadtteilfest"; aktor wziety z pozostalych edycji cyklu. Otwiera obchody 25-lecia dzielnicy; Papa Binnes Jazzband 11:00, Kosmonautics 17:00	Das jährlich in Hohenschönhausen stattfindende Stadtteilfest »Bunte Platte« eröffnet dieses Jahr die Feiern zum 25. Geburtstag des Stadtbezirks. [...] Falkenberger Chaussee / Vincent-van-Gogh-Straße, 1. Mai, ab 11 Uhr
